strain,marker,amr_class,locus_tag,protein_id,hyperedge_id,hyperedge_type,hyperedge_name,hyperedge_n_nodes
B36,blaCTX-M-15,beta_lactam,EW036_RS26225,,2522,kegg_pathway,map01130,207
B36,blaCTX-M-15,beta_lactam,EW036_RS26225,,2661,cog_category,COG_V: Defense mechanisms,53
B36,blaCTX-M-15,beta_lactam,EW036_RS26225,,2680,amr_mechanism,beta_lactam_resistance,4
B36,blaCTX-M-15,beta_lactam,EW036_RS26225,,3704,kegg_pathway,ko00311,1
B36,blaCTX-M-15,beta_lactam,EW036_RS26225,,3705,kegg_pathway,map00311,1
B36,blaOXA-1,beta_lactam,EW036_RS26250,WP_001334766.1,2260,multi_omics_triple,Triple_EW036_RS26250,3
B36,blaOXA-1,beta_lactam,EW036_RS26250,WP_001334766.1,2431,kegg_pathway,map01501,20
B36,blaOXA-1,beta_lactam,EW036_RS26250,WP_001334766.1,2432,kegg_pathway,ko01501,20
B36,blaOXA-1,beta_lactam,EW036_RS26250,WP_001334766.1,2661,cog_category,COG_V: Defense mechanisms,53
B36,blaOXA-1,beta_lactam,EW036_RS26250,WP_001334766.1,2680,amr_mechanism,beta_lactam_resistance,4
B36,blaOXA-1,beta_lactam,EW036_RS26250,WP_001334766.1,2713,go_term,GO:0042597: C:periplasmic space,31
B36,blaOXA-1,beta_lactam,EW036_RS26250,WP_001334766.1,2736,go_term,GO:0046677: P:response to antibiotic,36
B36,blaOXA-1,beta_lactam,EW036_RS26250,WP_001334766.1,2795,go_term,GO:0008658: F:penicillin binding,6
B36,blaOXA-1,beta_lactam,EW036_RS26250,WP_001334766.1,3319,go_term,GO:0008800: F:beta-lactamase activity,4
B36,blaOXA-1,beta_lactam,EW036_RS26250,WP_001334766.1,3707,go_term,GO:0017001: GO:0017001,1
B36,aac(6')-Ib-cr5,fluoroquinolone,EW036_RS26255,WP_063840321.1,2261,multi_omics_triple,Triple_EW036_RS26255,3
B36,aac(6')-Ib-cr5,fluoroquinolone,EW036_RS26255,WP_063840321.1,2664,cog_category,"COG_J: Translation, ribosomal structure and biogenesis",428
B36,aac(6')-Ib-cr5,fluoroquinolone,EW036_RS26255,WP_063840321.1,2681,amr_mechanism,fluoroquinolone_resistance,3
B36,aac(6')-Ib-cr5,fluoroquinolone,EW036_RS26255,WP_063840321.1,2736,go_term,GO:0046677: P:response to antibiotic,36
B36,aac(6')-Ib-cr5,fluoroquinolone,EW036_RS26255,WP_063840321.1,3708,go_term,GO:0047663: GO:0047663,1
